Sample,Condition,Tracer,compound,datatype,value
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-6-phosphate,NormAbund,16162215.34
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-1-phosphate,Abund,869300.7191
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-1-phosphate,NormAbund,869300.7191
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-6-phosphate,Abund,2986617.306
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-6-phosphate,NormAbund,2986617.306
P6 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 1,6-bisphosphate",Abund,20376785.89
P6 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 1,6-bisphosphate",NormAbund,20376785.89
P6 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",Abund,1380361.847
P6 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",NormAbund,1380361.847
P6 Trac2,PGM1-CDG,13C6 Nutrient2,"Glucose 1,6-bisphosphate",Abund,4512272.164
P6 Trac2,PGM1-CDG,13C6 Nutrient2,"Glucose 1,6-bisphosphate",NormAbund,4512272.164
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,Abund,148312549.7
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,NormAbund,148312549.7
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate glucuronic acid,Abund,34520163.53
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate glucuronic acid,NormAbund,34520163.53
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate hexose,Abund,199477941.7
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate hexose,NormAbund,199477941.7
P6 Trac2,PGM1-CDG,13C6 Nutrient2,GDP-Fucose,Abund,3895101.187
P6 Trac2,PGM1-CDG,13C6 Nutrient2,GDP-Fucose,NormAbund,3895101.187
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Fructose-6-phosphate,Abund,116161001.5
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Fructose-6-phosphate,NormAbund,116161001.5
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-1-phosphate,Abund,617485155.4
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-1-phosphate,NormAbund,617485155.4
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-6-phosphate,Abund,45010.58314
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-6-phosphate,NormAbund,45010.58314
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-1-phosphate,Abund,120134225.4
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-1-phosphate,NormAbund,120134225.4
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-6-phosphate,Abund,6050775.097
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-6-phosphate,NormAbund,6050775.097
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-1-phosphate,Abund,0
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-1-phosphate,NormAbund,0
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-6-phosphate,Abund,858418.3614
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-6-phosphate,NormAbund,858418.3614
P1 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 1,6-bisphosphate",Abund,8542316.293
P1 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 1,6-bisphosphate",NormAbund,8542316.293
P1 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",Abund,1294119.02
P1 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",NormAbund,1294119.02
P1 Trac1,PGM1-CDG,13C6 Nutrient1,"Glucose 1,6-bisphosphate",Abund,4264102.401
P1 Trac1,PGM1-CDG,13C6 Nutrient1,"Glucose 1,6-bisphosphate",NormAbund,4264102.401
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,Abund,98150709.92
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,NormAbund,98150709.92
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate glucuronic acid,Abund,38469368.33
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate glucuronic acid,NormAbund,38469368.33
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate hexose,Abund,208530021.1
