"","compound","datatype","cohort","P_RA","Abund","Labeling","Fraction","label_cont","P_FC","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"141","L-Tyrosine","FracCont","1*",0.000754867282300661,1,"Labeled",0.00399033511801333,0.004,0.0495346134356268,"0.4%",0,0,"P_FC=0.05*","pRA=0*"
"142","L-Tyrosine","FracCont","1*",0.000754867282300661,1,"Unlabeled",0.996009664881987,0.996,NA,"",0,0,"","pRA=0*"
"143","L-Valine","FracCont","0.5*",0.00330088990399284,0.593831466898271,"Labeled",0.00400820652337263,0.007,0.0495346134356268,"0.7%",0,0,"P_FC=0.05*","pRA=0*"
"144","L-Valine","FracCont","0.5*",0.00330088990399284,0.593831466898271,"Unlabeled",0.589823260374899,0.993,NA,"",0,0,"","pRA=0*"
"145","L-Valine","FracCont","1*",6.49224639087752e-05,1,"Labeled",0.0065673647376123,0.007,0.0495346134356268,"0.7%",0,0,"P_FC=0.05*","pRA=0*"
"146","L-Valine","FracCont","1*",6.49224639087752e-05,1,"Unlabeled",0.993432635262388,0.993,NA,"",0,0,"","pRA=0*"
"147","Mannitol","FracCont","0.5",0.28349494865112,1,"Labeled",0.0660639777675565,0.066,0.275233524074834,"6.6%",0,0,"P_FC=0.28","pRA=0.28"
"148","Mannitol","FracCont","0.5",0.28349494865112,1,"Unlabeled",0.933936022232444,0.934,NA,"",0,0,"","pRA=0.28"
"149","Mannitol","FracCont","1",0.871555756768525,0.585882030524637,"Labeled",0.0549573600865533,0.094,0.268285883677117,"9.4%",0,0,"P_FC=0.27","pRA=0.87"
"150","Mannitol","FracCont","1",0.871555756768525,0.585882030524637,"Unlabeled",0.530924670438084,0.906,NA,"",0,0,"","pRA=0.87"
"151","Myo-inositol","FracCont","0.5",0.236852719120091,1,"Labeled",0.00286552141685362,0.003,0.512690760261924,"0.3%",0,0,"P_FC=0.51","pRA=0.24"
"152","Myo-inositol","FracCont","0.5",0.236852719120091,1,"Unlabeled",0.997134478583146,0.997,NA,"",0,0,"","pRA=0.24"
"153","Myo-inositol","FracCont","1",0.594324914256703,0.829211708806583,"Labeled",0.00240117861608324,0.003,0.512690760261924,"0.3%",0,0,"P_FC=0.51","pRA=0.59"
"154","Myo-inositol","FracCont","1",0.594324914256703,0.829211708806583,"Unlabeled",0.8268105301905,0.997,NA,"",0,0,"","pRA=0.59"
"155","Myristic acid d27","FracCont","0.5",0.252325824061404,1,"Labeled",0,0,1,"0%",0,0,"P_FC=1","pRA=0.25"
"156","Myristic acid d27","FracCont","0.5",0.252325824061404,1,"Unlabeled",1,1,NA,"",0,0,"","pRA=0.25"
"157","Myristic acid d27","FracCont","1",0.836694197946603,0.777909065841602,"Labeled",0,0,1,"0%",0,0,"P_FC=1","pRA=0.84"
"158","Myristic acid d27","FracCont","1",0.836694197946603,0.777909065841602,"Unlabeled",0.777909065841602,1,NA,"",0,0,"","pRA=0.84"
"159","Oxoadipic acid","FracCont","0.5*",0.5448887923888,0.42357466048347,"Labeled",0.00584816830846144,0.014,0,"1.4%",0,0,"P_FC=0*","pRA=0.54"
"160","Oxoadipic acid","FracCont","0.5*",0.5448887923888,0.42357466048347,"Unlabeled",0.417726492175008,0.986,NA,"",0,0,"","pRA=0.54"
"161","Oxoadipic acid","FracCont","1*",0.529115296057238,0.400002357561824,"Labeled",0.00552271259128877,0.014,0,"1.4%",0,0,"P_FC=0*","pRA=0.53"
"162","Oxoadipic acid","FracCont","1*",0.529115296057238,0.400002357561824,"Unlabeled",0.394479644970535,0.986,NA,"",0,0,"","pRA=0.53"
"163","Oxoglutaric acid","FracCont","0.5*",0.00417735552042955,1,"Labeled",0.000361013859709772,0,0.0495346134356268,"0%",0,0,"P_FC=0.05*","pRA=0*"
"164","Oxoglutaric acid","FracCont","0.5*",0.00417735552042955,1,"Unlabeled",0.99963898614029,1,NA,"",0,0,"","pRA=0*"
"165","Oxoglutaric acid","FracCont","1*",0.0182879954611595,0.824437224497812,"Labeled",0.000507083637655562,0.001,0.0495346134356268,"0.1%",0,0,"P_FC=0.05*","pRA=0.02*"
"166","Oxoglutaric acid","FracCont","1*",0.0182879954611595,0.824437224497812,"Unlabeled",0.823930140860157,0.999,NA,"",0,0,"","pRA=0.02*"
"167","Pentose-phosphate","FracCont","0.5*",0.280960382234097,1,"Labeled",0,0,1,"0%",0,0,"P_FC=1","pRA=0.28"
