"","compound","datatype","cohort","P","average"
"278","L-Glutamic acid","FracCont","1",0.275233524074834,0.000356668304124712
"279","L-Glutamic acid","Isotopologue_C13-0","0.5",0.0495346134356268,1.00553837455018
"280","L-Glutamic acid","Isotopologue_C13-0","1",0.0495346134356268,1.00346118398722
"281","L-Glutamic acid","Isotopologue_C13-1","0.5",0.0495346134356268,-0.00216724428069605
"282","L-Glutamic acid","Isotopologue_C13-1","1",0.0495346134356268,-0.00112599629686086
"283","L-Glutamic acid","Isotopologue_C13-2","0.5",0.0495346134356268,-0.0034675439907861
"284","L-Glutamic acid","Isotopologue_C13-2","1",0.0495346134356268,-0.00251837401469967
"285","L-Glutamic acid","Isotopologue_C13-3","0.5",0.126630457947616,0.000340510218497038
"286","L-Glutamic acid","Isotopologue_C13-3","1",0.126630457947616,0.00031632056160777
"287","L-Glutamic acid","Isotopologue_C13-4","0.5",0.275233524074834,0.000292832546435331
"288","L-Glutamic acid","Isotopologue_C13-4","1",0.126630457947616,0.000184810344702552
"289","L-Glutamic acid","Isotopologue_C13-5","0.5",0.275233524074834,-0.000536929043631
"290","L-Glutamic acid","Isotopologue_C13-5","1",0.512690760261924,-0.000317944581969224
"291","L-Isoleucine","FracCont","0.5",0.0495346134356268,0.0144551990305398
"292","L-Isoleucine","FracCont","1",0.0495346134356268,0.00755181113695066
"293","L-Isoleucine","Isotopologue_C13-0","0.5",0.0495346134356268,0.954966165940862
"294","L-Isoleucine","Isotopologue_C13-0","1",0.0495346134356268,0.980488177210824
"295","L-Isoleucine","Isotopologue_C13-1","0.5",0.0495346134356268,0.0486746575460224
"296","L-Isoleucine","Isotopologue_C13-1","1",0.0495346134356268,0.0317163052561563
"297","L-Isoleucine","Isotopologue_C13-2","0.5",0.0495346134356268,0.0189902009874289
"298","L-Isoleucine","Isotopologue_C13-2","1",0.0495346134356268,0.00626810684135719
"299","L-Isoleucine","Isotopologue_C13-3","0.5",0.0495346134356268,-0.0221795581717285
"300","L-Isoleucine","Isotopologue_C13-3","1",0.0495346134356268,-0.0185629014949301
"301","L-Isoleucine","Isotopologue_C13-4","0.5",0.0495346134356268,-0.000342971058619729
"302","L-Isoleucine","Isotopologue_C13-4","1",0.0495346134356268,0.000242118816811538
"303","L-Isoleucine","Isotopologue_C13-5","0.5",0.512690760261924,-0.000121033241269579
"304","L-Isoleucine","Isotopologue_C13-5","1",0.0495346134356268,-0.000165444415746558
"305","L-Isoleucine","Isotopologue_C13-6","0.5",0.126630457947616,1.25379973040859e-05
"306","L-Isoleucine","Isotopologue_C13-6","1",0.275233524074834,1.36377855277004e-05
"307","L-Lactic acid","FracCont","0.5",0.0495346134356268,0.0615622698964469
"308","L-Lactic acid","FracCont","1",0.0495346134356268,0.192868538083676
"309","L-Lactic acid","Isotopologue_C13-0","0.5",0.0495346134356268,0.953716880454673
"310","L-Lactic acid","Isotopologue_C13-0","1",0.0495346134356268,0.822833090802038
"311","L-Lactic acid","Isotopologue_C13-1","0.5",0.512690760261924,-0.00728591069387547
"312","L-Lactic acid","Isotopologue_C13-1","1",0.0495346134356268,-0.00526039772647112
"313","L-Lactic acid","Isotopologue_C13-2","0.5",0.512690760261924,-0.00799323965724483
